Region,Score,Economy,Family,Health,Freedom,text
Australia and New Zealand,7.32,1.4,1.14,0.84,0.57,Region with the highesr Happiness Score
North America,7.25,1.47,1.07,0.8,0.53,
Eastern Asia,5.62,1.28,0.91,0.81,0.39,
Middle East and Northern Africa,5.39,1.14,0.7,0.62,0.31,
Central and Eastern Europe,5.37,1.05,0.86,0.63,0.3,
Latin America and Caribbean,6.1,0.99,0.9,0.61,0.43,
Southeastern Asia,5.34,0.9,0.79,0.56,0.49,
Southern Asia,4.56,0.66,0.48,0.45,0.35,
Sub-Saharan Africa,4.14,0.47,0.59,0.24,0.32,
Western Europe,6.69,1.42,1.04,0.83,0.48,
