Country,Region,Score,Economy
Denmark,Western Europe,7.526,1.44178
Switzerland,Western Europe,7.509,1.52733
Iceland,Western Europe,7.501,1.42666
Norway,Western Europe,7.498,1.57744
Finland,Western Europe,7.413,1.40598
Canada,North America,7.404,1.44015
Netherlands,Western Europe,7.339,1.46468
New Zealand,Australia and New Zealand,7.334,1.36066
Australia,Australia and New Zealand,7.313,1.44443
Sweden,Western Europe,7.291,1.45181
Israel,Middle East and Northern Africa,7.267,1.33766
Austria,Western Europe,7.119,1.45038
United States,North America,7.104,1.50796
Costa Rica,Latin America and Caribbean,7.087,1.06879
Puerto Rico,Latin America and Caribbean,7.039,1.35943
Germany,Western Europe,6.994,1.44787
Brazil,Latin America and Caribbean,6.952,1.08754
Belgium,Western Europe,6.929,1.42539
Ireland,Western Europe,6.907,1.48341
Luxembourg,Western Europe,6.871,1.69752
Mexico,Latin America and Caribbean,6.778,1.11508
Singapore,Southeastern Asia,6.739,1.64555
United Kingdom,Western Europe,6.725,1.40283
Chile,Latin America and Caribbean,6.705,1.2167
Panama,Latin America and Caribbean,6.701,1.18306
Argentina,Latin America and Caribbean,6.65,1.15137
Czech Republic,Central and Eastern Europe,6.596,1.30915
United Arab Emirates,Middle East and Northern Africa,6.573,1.57352
Uruguay,Latin America and Caribbean,6.545,1.18157
Malta,Western Europe,6.488,1.30782
Colombia,Latin America and Caribbean,6.481,1.03032
France,Western Europe,6.478,1.39488
Thailand,Southeastern Asia,6.474,1.0893
Saudi Arabia,Middle East and Northern Africa,6.379,1.48953
Taiwan,Eastern Asia,6.379,1.39729
Qatar,Middle East and Northern Africa,6.375,1.82427
Spain,Western Europe,6.361,1.34253
Algeria,Middle East and Northern Africa,6.355,1.05266
Guatemala,Latin America and Caribbean,6.324,0.83454
Suriname,Latin America and Caribbean,6.269,1.09686
Kuwait,Middle East and Northern Africa,6.239,1.61714
Bahrain,Middle East and Northern Africa,6.218,1.44024
Trinidad and Tobago,Latin America and Caribbean,6.168,1.32572
Venezuela,Latin America and Caribbean,6.084,1.13367
Slovakia,Central and Eastern Europe,6.078,1.27973
El Salvador,Latin America and Caribbean,6.068,0.8737
Malaysia,Southeastern Asia,6.005,1.25142
Nicaragua,Latin America and Caribbean,5.992,0.69384
Uzbekistan,Central and Eastern Europe,5.987,0.73591
Italy,Western Europe,5.977,1.35495
Ecuador,Latin America and Caribbean,5.976,0.97306
