Country_Name,Country_Code,Region,Year,Fertility_Rate,Happiness_Rank,Happiness_Score
Switzerland,CHE,Europe and Central Asia,2015,1.54,1,7.59
Iceland,ISL,Europe and Central Asia,2015,1.93,2,7.56
Denmark,DNK,Europe and Central Asia,2015,1.69,3,7.53
Norway,NOR,Europe and Central Asia,2015,1.75,4,7.52
Canada,CAN,North America,2015,1.6,5,7.43
Finland,FIN,Europe and Central Asia,2015,1.71,6,7.41
Netherlands,NLD,Europe and Central Asia,2015,1.71,7,7.38
Sweden,SWE,Europe and Central Asia,2015,1.88,8,7.36
New Zealand,NZL,East Asia and Pacific,2015,1.99,9,7.29
Australia,AUS,East Asia and Pacific,2015,1.83,10,7.28
Israel,ISR,Middle East and North Africa,2015,3.09,11,7.28
Costa Rica,CRI,Latin America and Caribbean,2015,1.8,12,7.23
Austria,AUT,Europe and Central Asia,2015,1.47,13,7.2
Mexico,MEX,Latin America and Caribbean,2015,2.21,14,7.19
United States,USA,North America,2015,1.84,15,7.12
Brazil,BRA,Latin America and Caribbean,2015,1.78,16,6.98
Luxembourg,LUX,Europe and Central Asia,2015,1.5,17,6.95
Ireland,IRL,Europe and Central Asia,2015,1.94,18,6.94
Belgium,BEL,Europe and Central Asia,2015,1.74,19,6.94
United Arab Emirates,ARE,Middle East and North Africa,2015,1.77,20,6.9
United Kingdom,GBR,Europe and Central Asia,2015,1.81,21,6.87
Oman,OMN,Middle East and North Africa,2015,2.71,22,6.85
"Venezuela, RB",VEN,Latin America and Caribbean,2015,2.34,23,6.81
Singapore,SGP,East Asia and Pacific,2015,1.24,24,6.8
Panama,PAN,Latin America and Caribbean,2015,2.42,25,6.79
Germany,DEU,Europe and Central Asia,2015,1.5,26,6.75
Chile,CHL,Latin America and Caribbean,2015,1.75,27,6.67
Qatar,QAT,Middle East and North Africa,2015,2.01,28,6.61
France,FRA,Europe and Central Asia,2015,2.01,29,6.58
Argentina,ARG,Latin America and Caribbean,2015,2.31,30,6.57
Czech Republic,CZE,Europe and Central Asia,2015,1.53,31,6.51
Uruguay,URY,Latin America and Caribbean,2015,2.01,32,6.49
Colombia,COL,Latin America and Caribbean,2015,1.88,33,6.48
Thailand,THA,East Asia and Pacific,2015,1.5,34,6.46
Saudi Arabia,SAU,Middle East and North Africa,2015,2.71,35,6.41
Spain,ESP,Europe and Central Asia,2015,1.32,36,6.33
Malta,MLT,Middle East and North Africa,2015,1.42,37,6.3
Kuwait,KWT,Middle East and North Africa,2015,2.07,39,6.3
Suriname,SUR,Latin America and Caribbean,2015,2.34,40,6.27
Trinidad and Tobago,TTO,Latin America and Caribbean,2015,1.77,41,6.17
El Salvador,SLV,Latin America and Caribbean,2015,1.91,42,6.13
Guatemala,GTM,Latin America and Caribbean,2015,3.16,43,6.12
Uzbekistan,UZB,Europe and Central Asia,2015,2.49,44,6
Slovak Republic,SVK,Europe and Central Asia,2015,1.37,45,6
Japan,JPN,East Asia and Pacific,2015,1.46,46,5.99
"Korea, Rep.",KOR,East Asia and Pacific,2015,1.24,47,5.98
Ecuador,ECU,Latin America and Caribbean,2015,2.51,48,5.98
Bahrain,BHR,Middle East and North Africa,2015,2.04,49,5.96
Italy,ITA,Europe and Central Asia,2015,1.37,50,5.95
Bolivia,BOL,Latin America and Caribbean,2015,2.92,51,5.89
Moldova,MDA,Europe and Central Asia,2015,1.25,52,5.89
Paraguay,PRY,Latin America and Caribbean,2015,2.51,53,5.88
Kazakhstan,KAZ,Europe and Central Asia,2015,2.73,54,5.86
Slovenia,SVN,Europe and Central Asia,2015,1.58,55,5.85
Lithuania,LTU,Europe and Central Asia,2015,1.63,56,5.83
Nicaragua,NIC,Latin America and Caribbean,2015,2.23,57,5.83
Peru,PER,Latin America and Caribbean,2015,2.43,58,5.82
Belarus,BLR,Europe and Central Asia,2015,1.72,59,5.81
Poland,POL,Europe and Central Asia,2015,1.32,60,5.79
Malaysia,MYS,East Asia and Pacific,2015,1.93,61,5.77
Croatia,HRV,Europe and Central Asia,2015,1.46,62,5.76
Libya,LBY,Middle East and North Africa,2015,2.43,63,5.75
Russian Federation,RUS,Europe and Central Asia,2015,1.75,64,5.72
Jamaica,JAM,Latin America and Caribbean,2015,2.03,65,5.71
Cyprus,CYP,Europe and Central Asia,2015,1.44,67,5.69
Algeria,DZA,Middle East and North Africa,2015,2.81,68,5.61
Kosovo,XKX,Europe and Central Asia,2015,2.09,69,5.59
Turkmenistan,TKM,Europe and Central Asia,2015,2.28,70,5.55
Mauritius,MUS,Sub-Saharan Africa,2015,1.36,71,5.48
"Hong Kong SAR, China",HKG,East Asia and Pacific,2015,1.2,72,5.47
Estonia,EST,Europe and Central Asia,2015,1.54,73,5.43
Indonesia,IDN,East Asia and Pacific,2015,2.44,74,5.4
Vietnam,VNM,East Asia and Pacific,2015,1.96,75,5.36
Turkey,TUR,Europe and Central Asia,2015,2.05,76,5.33
Kyrgyz Republic,KGZ,Europe and Central Asia,2015,3.2,77,5.29
Nigeria,NGA,Sub-Saharan Africa,2015,5.59,78,5.27
Bhutan,BTN,South Asia,2015,1.98,79,5.25
Azerbaijan,AZE,Europe and Central Asia,2015,1.97,80,5.21
Pakistan,PAK,South Asia,2015,3.55,81,5.19
Jordan,JOR,Middle East and North Africa,2015,3.37,82,5.19
Montenegro,MNE,Europe and Central Asia,2015,1.68,82,5.19
China,CHN,East Asia and Pacific,2015,1.57,84,5.14
Zambia,ZMB,Sub-Saharan Africa,2015,5.28,85,5.13
Romania,ROU,Europe and Central Asia,2015,1.52,86,5.12
Serbia,SRB,Europe and Central Asia,2015,1.46,87,5.12
Portugal,PRT,Europe and Central Asia,2015,1.23,88,5.1
Latvia,LVA,Europe and Central Asia,2015,1.64,89,5.1
Philippines,PHL,East Asia and Pacific,2015,2.94,90,5.07
